                                         car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                          
----------------------------------------------------------------------------------------------------------------------------------------------
 SP-3543402-6109C1AAE9F3400ABB2A8BBFB1351BF3;1.4361;SP;Ribeirão Preto;0.1436;IRU;AT;Aguardando análise
 SP-3543402-A6C7D1F7C030440D931AAB955DCFFE30;37.6517;SP;Ribeirão Preto;3.7652;IRU;AT;Aguardando analise
 SP-3543402-481F97717EDA416B8B1B616D7D076D5F;18.8794;SP;Ribeirão Preto;1.8879;IRU;AT;Aguardando analise
 SP-3543402-985559048B3543808E056F39C2366BCC;112.6396;SP;Ribeirão Preto;11.2640;IRU;AT;Aguardando analise
 SP-3543402-F02367E6067245A1B52F4573507EDF04;0.0982;SP;Ribeirão Preto;0.0098;IRU;AT;Aguardando análise
 SP-3543402-8DFCF99212374DA6B393046B856ED59D;2.8231;SP;Ribeirão Preto;0.2823;IRU;AT;Aguardando analise
 SP-3543402-A84015DE04E54B849E75CCB50404E0A1;19.9818;SP;Ribeirão Preto;1.9982;IRU;AT;Aguardando análise
 SP-3543402-1F8A419DC6A043D0AEB8A3A3BAD0FF4F;11.9170;SP;Ribeirão Preto;1.1518;IRU;AT;Aguardando análise
 SP-3543402-9364CE4EDFAD4AFA961E02667634B1AC;2.5582;SP;Ribeirão Preto;0.2558;IRU;AT;Aguardando análise
 SP-3543402-D87F542C4B524300BF62003E9309F186;34.8511;SP;Ribeirão Preto;3.4851;IRU;AT;Aguardando analise
 SP-3543402-27A5E311C1E04422A1A8F3E9BFC854C7;38.1618;SP;Ribeirão Preto;3.8162;IRU;AT;Aguardando analise
 SP-3543402-86DB70312DC7428C99B755A2545A6E27;7.5044;SP;Ribeirão Preto;0.7504;IRU;AT;Aguardando analise
 SP-3543402-1E236254DFB54D35A53A84D65E5AA2E6;2.8865;SP;Ribeirão Preto;0.2887;IRU;AT;Aguardando analise
 SP-3543402-0265100F8CAE4E1CB8A4576361571254;54.3415;SP;Ribeirão Preto;5.4341;IRU;AT;Aguardando análise
 SP-3543402-2CCF77936F9B4DB493EA2BDE503B0FF5;217.8023;SP;Ribeirão Preto;21.7802;IRU;AT;Aguardando análise
 SP-3543402-90AC1DE8F23E4F6783172BEF0B3D086B;7.0948;SP;Ribeirão Preto;0.7095;IRU;AT;Aguardando analise
 SP-3543402-29A0FA86E50244CAAD10E89BC058DBB0;628.9572;SP;Ribeirão Preto;62.8942;IRU;AT;Aguardando analise
 SP-3543402-DD7D513013CA4BBEA876028302B40A48;46.0688;SP;Ribeirão Preto;4.5996;IRU;AT;Aguardando análise
 SP-3543402-241317B05BF84F42857D8F5BDACE1B06;11.5680;SP;Ribeirão Preto;1.1568;IRU;AT;Aguardando análise
 SP-3543402-3B7D64503837468F9E7E68981DD2A8EF;88.8688;SP;Ribeirão Preto;8.7150;IRU;AT;Aguardando análise
 SP-3543402-83254790839341E89958B5F5B64CD58A;61.0820;SP;Ribeirão Preto;6.0499;IRU;AT;Aguardando análise
 SP-3543402-7A05451609534029807359680D607247;31.8420;SP;Ribeirão Preto;2.8336;IRU;AT;Aguardando análise
 SP-3543402-6F094E84D49741B585AD245A4F856084;87.0921;SP;Ribeirão Preto;8.5279;IRU;AT;Aguardando análise
 SP-3543402-B5DADD74CB2642A085A4A6FC8EF4119E;11.3157;SP;Ribeirão Preto;1.1316;IRU;AT;Aguardando análise
 SP-3543402-2FCADDF24ED04C968CD02AB135F847BC;682.2746;SP;Ribeirão Preto;63.0150;IRU;AT;Aguardando análise
 SP-3543402-802450412CCC49268B38E74AD4B87243;5.7925;SP;Ribeirão Preto;0.5793;IRU;AT;Aguardando analise
 SP-3543402-F3EE48AA39FD453988EB6D920D0F7F4E;319.3229;SP;Ribeirão Preto;31.9323;IRU;AT;Aguardando análise
 SP-3543402-E5C8EEB3E18C4DCBBE02B3678CDB7627;6.6160;SP;Ribeirão Preto;0.6488;IRU;AT;Aguardando análise
 SP-3543402-3BCCF6998DAB437BBEE8547AEA062723;446.7614;SP;Ribeirão Preto;44.6761;IRU;AT;Aguardando analise
 SP-3543402-D25884D73F1E42AEA09FD22024817547;51.5082;SP;Ribeirão Preto;5.1508;IRU;AT;Aguardando analise
 SP-3543402-D7E3C09B02B0464395404E5629329AB0;0.8026;SP;Ribeirão Preto;0.0803;IRU;AT;Aguardando analise
 SP-3543402-A835976EE4EE43C0BB8E6FA63A13A60D;75.8061;SP;Ribeirão Preto;7.5806;IRU;AT;Aguardando analise
 SP-3543402-A5F4BDA311014229AC0A6B2880B714D1;6.3970;SP;Ribeirão Preto;0.6397;IRU;AT;Aguardando análise
 SP-3543402-B06DA702C9DA418293CED865E413B74B;19.2831;SP;Ribeirão Preto;1.9283;IRU;AT;Aguardando análise
 SP-3543402-33DB435E52BE48C09575F2B2BC2A910F;193.4498;SP;Ribeirão Preto;19.0252;IRU;AT;Aguardando análise
 SP-3543402-D47602FC2856475BBACD1E5F395AC832;36.6734;SP;Ribeirão Preto;3.6673;IRU;AT;Aguardando análise
 SP-3543402-EF50AA4B4CA040B4B374B45933CEEED0;7.0839;SP;Ribeirão Preto;0.7084;IRU;AT;Aguardando analise
 SP-3543402-9DB936ABE9054184991D54FBD8ADB6F7;93.5410;SP;Ribeirão Preto;9.3412;IRU;AT;Aguardando analise
 SP-3543402-14010215C3104E6C9546CE8B9D2CB259;4.5530;SP;Ribeirão Preto;0.4553;IRU;AT;Aguardando análise
 SP-3543402-C64E87C364374DA99E8028432A1E4C26;8.9914;SP;Ribeirão Preto;0.8991;IRU;AT;Aguardando analise
 SP-3543402-7BBE7D0964C54C168BD93EC255884A17;223.4118;SP;Ribeirão Preto;22.2119;IRU;AT;Aguardando analise
 SP-3543402-7557F559C18841228B1A0B5CF069C784;4.8948;SP;Ribeirão Preto;0.4895;IRU;AT;Aguardando analise
 SP-3543402-C69DB6111A4D40B1990C331BF0283401;3.6008;SP;Ribeirão Preto;0.3601;IRU;AT;Aguardando analise
 SP-3543402-D7DA2A7192AD40449DB0162B090B8C45;2.3752;SP;Ribeirão Preto;0.2375;IRU;AT;Aguardando analise
 SP-3543402-748891DDE49B4B76B9CE783282C10308;3.6082;SP;Ribeirão Preto;0.3608;IRU;AT;Aguardando analise
 SP-3543402-1C9E2245EBD74B8DB857B6AE19942089;4.8671;SP;Ribeirão Preto;0.4769;IRU;AT;Aguardando analise
 SP-3543402-8BB6755B0C694506A82354B350006AB2;111.4615;SP;Ribeirão Preto;11.1462;IRU;AT;Aguardando análise
 SP-3543402-ED383E24C9AA4FFCBD02030CF7EFF766;11.8259;SP;Ribeirão Preto;1.1826;IRU;AT;Aguardando analise
 SP-3543402-C9DA69DC0C7C4BD6935CA85D48D24444;90.7610;SP;Ribeirão Preto;9.0761;IRU;AT;Aguardando análise
 SP-3543402-A65BC915CD96468E8FADB7CC9EF2DFFB;14.5251;SP;Ribeirão Preto;1.4525;IRU;AT;Aguardando analise
 SP-3543402-388295F57B5D40C18981B0AD20139426;17.5844;SP;Ribeirão Preto;1.7584;IRU;AT;Aguardando analise
 SP-3543402-1B05C40F8DA444C58920B019EA231259;10.0252;SP;Ribeirão Preto;1.0025;IRU;AT;Aguardando analise
 SP-3543402-0D5ACA782B9B4D51AD94E5529C2D7FC7;563.6871;SP;Ribeirão Preto;53.9278;IRU;AT;Aguardando analise
 SP-3543402-3561964780044091BFE3A807D9BC91A2;15.6538;SP;Ribeirão Preto;1.5654;IRU;AT;Aguardando analise
 SP-3543402-47DC8C40122047C99F27DD9E315648AF;6.4214;SP;Ribeirão Preto;0.6284;IRU;AT;Aguardando analise
 SP-3543402-A89BD4E1083B44A89AFC4D08ADA62186;7.6711;SP;Ribeirão Preto;0.7671;IRU;AT;Aguardando analise
 SP-3543402-76111E4A4CB048A985F12D827BC9345E;3.8821;SP;Ribeirão Preto;0.3882;IRU;AT;Aguardando análise
 SP-3543402-6D2B039355A143E9AE498FA0F1D59664;2.4306;SP;Ribeirão Preto;0.2431;IRU;AT;Aguardando analise
 SP-3543402-C889C61FEC244B03B9B84980B95B9A23;4.8700;SP;Ribeirão Preto;0.4870;IRU;AT;Aguardando analise
 SP-3543402-A0E78C82C8BF40A297A08C0F58E86674;58.4455;SP;Ribeirão Preto;5.4366;IRU;AT;Aguardando analise
 SP-3543402-76E625B4B641420DB18F9B2ECB5F44F1;16.3964;SP;Ribeirão Preto;1.5860;IRU;AT;Aguardando analise
 SP-3543402-F4DE38733A0E4FAA89C5DC3289324F1C;16.0013;SP;Ribeirão Preto;1.6001;IRU;AT;Aguardando analise
 SP-3543402-36F31D7E79A3466E8CD1EEE13AF48AB1;2.0056;SP;Ribeirão Preto;0.2006;IRU;AT;Aguardando analise
 SP-3543402-A22D493E76554080A247AFD485181D7B;2.8767;SP;Ribeirão Preto;0.2877;IRU;AT;Aguardando análise
 SP-3543402-570EF40DAA214692AE1D60B6CD85DC27;41.1050;SP;Ribeirão Preto;4.1105;IRU;AT;Aguardando análise
 SP-3543402-C7966805A02E42E1AD88060DF9CDAF44;90.2826;SP;Ribeirão Preto;9.0283;IRU;AT;Aguardando analise
 SP-3543402-462654B77C8A4A30A76C721AFBC544B5;24.7919;SP;Ribeirão Preto;2.4792;IRU;AT;Aguardando analise
 SP-3543402-471031889AAF4A6B9F0CDF9449913504;2.3229;SP;Ribeirão Preto;0.2323;IRU;AT;Aguardando analise
 SP-3543402-7C8D58C3A6B841068A81E86B040D8407;179.1893;SP;Ribeirão Preto;17.9189;IRU;AT;Aguardando analise
 SP-3543402-21F07F6805124D09A1F60C838EB99B13;20.7025;SP;Ribeirão Preto;2.0703;IRU;AT;Aguardando analise
 SP-3543402-5C2E8DF21BB34E4DAC4D0BFC0A56F5BB;3.4183;SP;Ribeirão Preto;0.3418;IRU;AT;Aguardando analise
 SP-3543402-B6322C8768574219B94D46524E465152;0.6957;SP;Ribeirão Preto;0.0696;IRU;AT;Aguardando analise
 SP-3543402-632245329FFB497094FEA678B6F05CA5;30.1290;SP;Ribeirão Preto;2.9546;IRU;AT;Aguardando análise
 SP-3543402-133F9B3CD25842D59CA229854FBBFB3C;4.7605;SP;Ribeirão Preto;0.4760;IRU;AT;Aguardando análise
 SP-3543402-CC7699CA8F5E4B5587532646BDADC491;17.8267;SP;Ribeirão Preto;1.7827;IRU;AT;Aguardando analise
 SP-3543402-AB47FCF869904979B8AA6A4BB3AA7B0C;15.6372;SP;Ribeirão Preto;1.2161;IRU;AT;Aguardando analise
 SP-3543402-A5A04BFF6C6547D7B73043CCA59979D4;20.9277;SP;Ribeirão Preto;2.0928;IRU;AT;Aguardando analise
 SP-3543402-C3F35FC79AE0424488F18F352684A7AE;194.0474;SP;Ribeirão Preto;19.4047;IRU;AT;Aguardando analise
 SP-3543402-6E95C327715849EFAC3CAFF3AAF5D710;31.7001;SP;Ribeirão Preto;3.1700;IRU;AT;Aguardando analise
 SP-3543402-F17B8BB361774A9FBE14CEA10BEAE4A0;13.6806;SP;Ribeirão Preto;1.3681;IRU;AT;Aguardando analise
 SP-3543402-DC2AED99B3654D9E8E919DA49CF6DAE8;183.0050;SP;Ribeirão Preto;18.3005;IRU;AT;Aguardando analise
 SP-3543402-2E3F8C5132B043B690EA049C4DDAA6C3;14.7440;SP;Ribeirão Preto;1.4480;IRU;AT;Aguardando análise
 SP-3543402-D2A7E1D1EE8F4B969092AE480B76EB78;0.0358;SP;Ribeirão Preto;0.0036;IRU;AT;Aguardando analise
 SP-3543402-77E185D8EDB34CCF9C866EFAC4F9F187;36.3274;SP;Ribeirão Preto;3.6327;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-94CB12F6E2F4424C9500E4508F17B287;114.4413;SP;Ribeirão Preto;11.2072;IRU;AT;Aguardando análise
 SP-3543402-B9B80F16FBCF4F54A511D21C03EC5AFC;7.2574;SP;Ribeirão Preto;0.7257;IRU;AT;Aguardando análise
 SP-3543402-9AE3CACD76AB403BAA79CE96FC4BFF59;27.9108;SP;Ribeirão Preto;2.7911;IRU;AT;Aguardando análise
 SP-3543402-D7A2F73814BF4B01A4D67F5001B3A155;31.9018;SP;Ribeirão Preto;3.1902;IRU;AT;Aguardando análise
 SP-3543402-DE4EEC9C92C842BD94600A7C678D9A2B;70.6261;SP;Ribeirão Preto;7.0626;IRU;AT;Aguardando análise
 SP-3543402-A3599CF486C143FDA253CB6D82E0618E;11.7548;SP;Ribeirão Preto;1.1755;IRU;AT;Aguardando análise
 SP-3543402-81A72C43B86C4573B4530B0700027996;3.3286;SP;Ribeirão Preto;0.3329;IRU;AT;Aguardando análise
 SP-3543402-B24D764DA49249199F0B9462A059545D;150.8568;SP;Ribeirão Preto;15.0857;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-00E3FBF64B284424A048F46B5DCB2E13;8.3134;SP;Ribeirão Preto;0.8313;IRU;AT;Aguardando analise
 SP-3543402-37B08671A6B646E69B4F4B0A2220015A;2.4155;SP;Ribeirão Preto;0.2415;IRU;AT;Aguardando análise
 SP-3543402-F1B1A6FCA7034143A10EBCED23064381;135.2427;SP;Ribeirão Preto;13.5243;IRU;AT;Aguardando analise
 SP-3543402-0B567A8C962141CA8FE9D76C7B1594E3;3.8771;SP;Ribeirão Preto;0.3877;IRU;AT;Aguardando análise
 SP-3543402-8267F8454E3D49CDAC92F128C6FBEA40;3.2494;SP;Ribeirão Preto;0.3249;IRU;AT;Aguardando análise
 SP-3543402-F1CC0406F8984BB1BB095EBDBFD23902;3.7148;SP;Ribeirão Preto;0.3715;IRU;AT;Aguardando análise
 SP-3543402-B2D8D5C2CBBD46FEB099D78A0B4A6248;79.0322;SP;Ribeirão Preto;7.9032;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-230C0EF325994B0A8C52399049F3970D;45.9769;SP;Ribeirão Preto;4.5914;IRU;AT;Aguardando analise
 SP-3543402-3D1AAC53367244B3B58B840BAB7D95B9;0.1289;SP;Ribeirão Preto;0.0129;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 SP-3543402-F547F158DADC4BFB9A2E7F75428511E4;240.0926;SP;Ribeirão Preto;22.0553;IRU;AT;Aguardando analise
 SP-3543402-EF2411BB51F240A8A78638CB7C323EDC;15.3673;SP;Ribeirão Preto;1.5367;IRU;AT;Aguardando analise
 SP-3543402-54B176D791304B53B4C2A78A806527D1;15.5349;SP;Ribeirão Preto;1.5535;IRU;AT;Aguardando analise
 SP-3543402-4C650269409945F996921291B1653813;163.6165;SP;Ribeirão Preto;16.3617;IRU;AT;Aguardando analise
 SP-3543402-C37602989D5E47F6A93AA14F78C0C9EA;36.1538;SP;Ribeirão Preto;3.6154;IRU;AT;Aguardando analise
 SP-3543402-874931A79D204F1C8151160F0D94D357;1126.7308;SP;Ribeirão Preto;112.3645;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 SP-3543402-4713BFB990A2464B9CB04D1A726235CC;17.6443;SP;Ribeirão Preto;1.7644;IRU;AT;Aguardando analise
 SP-3543402-FCFDC463C06844E3B14B9ED9568BC23E;31.1060;SP;Ribeirão Preto;3.1106;IRU;AT;Aguardando analise
 SP-3543402-002E5C0C0DFA47FA812EA7375253935E;60.2755;SP;Ribeirão Preto;6.0275;IRU;AT;Aguardando analise
 SP-3543402-9D731A73A0694BE49E61B1C039D6368F;26.6211;SP;Ribeirão Preto;2.6621;IRU;AT;Aguardando analise
 SP-3543402-E9F182632806455EBB0C198BAB8019E2;176.8720;SP;Ribeirão Preto;17.6872;IRU;AT;Aguardando analise
 SP-3543402-08FB2E35D219408882D9EB1C7AF67D87;5.0856;SP;Ribeirão Preto;0.5086;IRU;AT;Aguardando analise
 SP-3543402-15DB59A7C54048A7B4253C293ED82CC0;1.8248;SP;Ribeirão Preto;0.1825;IRU;AT;Aguardando analise
 SP-3543402-22B048B4DA254937A7DF963E8319D747;49.5381;SP;Ribeirão Preto;4.9538;IRU;AT;Aguardando analise
 SP-3543402-C58EB0743A8743DBAD7E25D946158BAB;109.9947;SP;Ribeirão Preto;10.8699;IRU;AT;Aguardando analise
 SP-3543402-8E7354FCE13F4FDDB0341D6F6EF03B7B;456.8662;SP;Ribeirão Preto;42.8025;IRU;AT;Aguardando analise
 SP-3543402-2F94D00276014E75AAA6C0D142352B66;249.6421;SP;Ribeirão Preto;24.9609;IRU;AT;Aguardando analise
 SP-3543402-528E3F42C72F4DBFAA81C83BE52F802E;33.6786;SP;Ribeirão Preto;3.3679;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-4DC2FA965C7C4F88AA4937177E3E7AAC;5.4730;SP;Ribeirão Preto;0.5473;IRU;AT;Aguardando analise
 SP-3543402-4CB88CAD523D4CC0B59DCF16BF188823;12.2506;SP;Ribeirão Preto;1.2251;IRU;AT;Aguardando analise
 SP-3543402-40C3C1287AC34FCDA0696D11D283999D;14.0757;SP;Ribeirão Preto;1.3277;IRU;AT;Aguardando analise
 SP-3543402-F558E3F6CF0940CF8D95B54D0AEC8C3C;8.8180;SP;Ribeirão Preto;0.8818;IRU;AT;Aguardando analise
 SP-3543402-6A0BFB38766B43C68DD2D22098D913DB;2.4837;SP;Ribeirão Preto;0.2484;IRU;AT;Aguardando analise
 SP-3543402-F22F1AB614CD4232BD1655F43D78C886;40.2752;SP;Ribeirão Preto;4.0275;IRU;AT;Aguardando analise
 SP-3543402-F58E2972FCD144C38FE56FF3F67B955D;10.5803;SP;Ribeirão Preto;1.0580;IRU;AT;Aguardando análise
 SP-3543402-2A34F186D0FA43CDBF896D4361550EF8;3.1830;SP;Ribeirão Preto;0.3183;IRU;AT;Aguardando analise
 SP-3543402-A04D73E2DFEE40AA909D07DE74AD080B;45.6274;SP;Ribeirão Preto;4.5627;IRU;AT;Aguardando análise
 SP-3543402-D310AF9C20AA430A96B6D9903B1A66F3;21.5765;SP;Ribeirão Preto;2.0734;IRU;AT;Aguardando analise
 SP-3543402-0240DF7AC9FC453E922B0BDEF166C92F;2.1574;SP;Ribeirão Preto;0.2157;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-2E3626463FFE48D581C34D9537701412;29.1856;SP;Ribeirão Preto;2.9186;IRU;AT;Aguardando análise
 SP-3543402-49899DDC2C374F4AB77ECFE502A94E8D;23.0117;SP;Ribeirão Preto;2.1957;IRU;AT;Aguardando analise
 SP-3543402-173D8F4D968A431ABB82B0D9A533821B;2.5824;SP;Ribeirão Preto;0.2582;IRU;AT;Aguardando analise
 SP-3543402-354A49463DC44233BC94C8B87FB9E937;9.8289;SP;Ribeirão Preto;0.9236;IRU;AT;Aguardando analise
 SP-3543402-111FD3FE829F40D18309F6BA93EBC347;10.5297;SP;Ribeirão Preto;1.0530;IRU;AT;Aguardando analise
 SP-3543402-565D0C43E57A41118B0094236EA4CC01;7.2557;SP;Ribeirão Preto;0.6423;IRU;AT;Aguardando analise
 SP-3543402-FDAC97D65CF74BD4999F6F15279E4869;0.5977;SP;Ribeirão Preto;0.0598;IRU;AT;Aguardando analise
 SP-3543402-9C12D74922D04C27B7B0688F5561A344;14.9801;SP;Ribeirão Preto;1.4980;IRU;AT;Aguardando analise
 SP-3543402-CE7F068167A94A8AAC30EFC0B55E5D74;8.6036;SP;Ribeirão Preto;0.8604;IRU;AT;Aguardando analise
 SP-3543402-4E9CE59E9790499AAA88F8FEE6A95995;2.0331;SP;Ribeirão Preto;0.2033;IRU;AT;Aguardando analise
 SP-3543402-986765CFF908492D9F40E8A5ECAF5DC7;1.5776;SP;Ribeirão Preto;0.1578;IRU;AT;Aguardando analise
 SP-3543402-8348FF7BBAD04A07B0FA49E9C0450D00;27.1151;SP;Ribeirão Preto;2.5063;IRU;AT;Aguardando analise
 SP-3543402-72D7C356AA544A0E8FE2DCE87C53368E;27.8029;SP;Ribeirão Preto;2.7803;IRU;AT;Aguardando analise
 SP-3543402-16375E15C69F4D4EB0050E67C56F0691;0.2682;SP;Ribeirão Preto;0.0268;IRU;AT;Aguardando analise
 SP-3543402-113A48BDD10A4AF7A955A9748453A4B4;167.5379;SP;Ribeirão Preto;16.7538;IRU;AT;Aguardando analise
 SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA;80.5436;SP;Ribeirão Preto;8.0544;IRU;AT;Aguardando analise
 SP-3543402-5A873C9F8073483AAE8BEF43059F565E;267.1800;SP;Ribeirão Preto;26.7180;IRU;AT;Aguardando analise
 SP-3543402-60695813643743D182E0D2798D0C2DEE;0.1591;SP;Ribeirão Preto;0.0159;IRU;AT;Aguardando analise
 SP-3543402-474871946C974454B19F7642EC156402;10.5650;SP;Ribeirão Preto;1.0565;IRU;AT;Aguardando analise
 SP-3543402-D0413AE1022648658BD4FE439EC4561F;0.0750;SP;Ribeirão Preto;0.0075;IRU;AT;Aguardando analise
 SP-3543402-86DBB1CD9252457BA53472F2B71E04A6;50.1044;SP;Ribeirão Preto;5.0104;IRU;AT;Aguardando analise
 SP-3543402-2F1F8D3B8515426C9C003D618E5F0C5A;93.5410;SP;Ribeirão Preto;9.3541;IRU;AT;Aguardando analise
 SP-3543402-32B129A33E2E4326A95630AD5F130922;7.8333;SP;Ribeirão Preto;0.7833;IRU;AT;Aguardando analise
 SP-3543402-FC5F1785A8984096ADF833A06D8CF872;4.8774;SP;Ribeirão Preto;0.4877;IRU;AT;Aguardando analise
 SP-3543402-7F143E1584D941ADBD2CC84F8BD9FD99;12.4882;SP;Ribeirão Preto;1.2488;IRU;AT;Aguardando analise
 SP-3543402-E6EC5F8EB7BE4251A28970003BF8480A;7.3815;SP;Ribeirão Preto;0.7382;IRU;AT;Aguardando analise
 SP-3543402-B6E861B447C848EDAAFB0D0770F33120;3.2483;SP;Ribeirão Preto;0.2520;IRU;AT;Aguardando analise
 SP-3543402-BB4A05F9A61C478FAF9D9FC927ED37B3;3.0905;SP;Ribeirão Preto;0.3010;IRU;AT;Aguardando analise
 SP-3543402-81CFF741809D4F5181482397B3D6E8DF;1.6819;SP;Ribeirão Preto;0.1682;IRU;AT;Aguardando analise
 SP-3543402-A9DBBDEE41F74FE588A8B9DD106CC017;39.8986;SP;Ribeirão Preto;3.9896;IRU;AT;Aguardando analise
 SP-3543402-7573C03C50D648A4ACA98200D337B48C;3.9428;SP;Ribeirão Preto;0.3943;IRU;AT;Aguardando analise
 SP-3543402-E7640454499D4E7198A32C8AD71E4A7F;8.8614;SP;Ribeirão Preto;0.8581;IRU;AT;Aguardando analise
 SP-3543402-AE96C173932442DF83DEE45D67463F7E;127.7776;SP;Ribeirão Preto;12.6282;IRU;AT;Aguardando analise
 SP-3543402-815754B3521645F7B1C9199E60091A3E;7.8387;SP;Ribeirão Preto;0.6517;IRU;AT;Aguardando analise
 SP-3543402-D7EB975E32164D9B8E9CDB7CB69E8F04;4.0122;SP;Ribeirão Preto;0.4012;IRU;AT;Aguardando analise
 SP-3543402-3145A6A3B38045E6AE2BA592C5399922;0.1772;SP;Ribeirão Preto;0.0177;IRU;AT;Aguardando analise
 SP-3543402-422AE81CE8A94999B1873D662B435892;7.0021;SP;Ribeirão Preto;0.6675;IRU;AT;Aguardando analise
 SP-3543402-4585A1BD4A014E5D9D95EF03B88A2412;2.7963;SP;Ribeirão Preto;0.2796;IRU;AT;Aguardando analise
 SP-3543402-EEAD04469EC747B2BD184120D3F36836;7.4023;SP;Ribeirão Preto;0.7402;IRU;AT;Aguardando analise
 SP-3543402-C797846967464E8B9EB4B8BFB32A5D7E;15.8357;SP;Ribeirão Preto;1.5836;IRU;AT;Aguardando analise
 SP-3543402-5ECF783B29BB42D2A4CA3EB461CFB6C5;466.1830;SP;Ribeirão Preto;43.7377;IRU;AT;Aguardando analise
 SP-3543402-F353702200F44F17BB622732C824EBCA;5.3633;SP;Ribeirão Preto;0.5363;IRU;AT;Aguardando analise
 SP-3543402-9E681B71D770446BAAF1FF626D63F251;48.2609;SP;Ribeirão Preto;4.8261;IRU;AT;Aguardando analise
 SP-3543402-910CA7D192814C21AF08F841E2EF3108;52.1578;SP;Ribeirão Preto;5.2158;IRU;AT;Aguardando analise
 SP-3543402-01E28DA7B7824B44B03198AD52C92B0A;2.4519;SP;Ribeirão Preto;0.2171;IRU;AT;Aguardando analise
 SP-3543402-0E8D6AEBC2AC41E5A385167C738B6106;4.3596;SP;Ribeirão Preto;0.4360;IRU;AT;Aguardando analise
 SP-3543402-99394FE29BEF4D1B96CEE072BD44E563;0.9348;SP;Ribeirão Preto;0.0935;IRU;AT;Aguardando analise
 SP-3543402-496C92E7B13746D6A3F2475ADD83DBD7;36.2521;SP;Ribeirão Preto;3.6252;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 SP-3543402-D771892216CC44A8B23AA55F972E1545;3.6317;SP;Ribeirão Preto;0.3632;IRU;AT;Aguardando analise
