                                         car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                          
 SP-3543402-6BCD1075B51B408EB5E2E576636B753F;3.6533;SP;Ribeirão Preto;0.3653;IRU;AT;Aguardando analise
 SP-3543402-C58D8DF6F73A4E0298DDE0727CFB71C1;8.2902;SP;Ribeirão Preto;0.8290;IRU;AT;Aguardando analise
 SP-3543402-DE422FA52C5F423BB6D501AFE4F6D4A8;6.2325;SP;Ribeirão Preto;0.5415;IRU;AT;Aguardando analise
 SP-3543402-343A3749E0ED45B8A35DBFDAD701FB42;26.3566;SP;Ribeirão Preto;2.6357;IRU;AT;Aguardando analise
 SP-3543402-9590DC3BC0A04D14A5F43129699F6140;22.3881;SP;Ribeirão Preto;2.2318;IRU;AT;Aguardando analise
 SP-3543402-375ED423F8064272B7CE91476D1D910A;21.2828;SP;Ribeirão Preto;2.1283;IRU;AT;Aguardando analise
 SP-3543402-214EA53EAB324D02805EA43F8FC90915;2.5686;SP;Ribeirão Preto;0.2569;IRU;AT;Aguardando analise
 SP-3543402-B040F33DD0AD48E48B00389E4CF6EEF7;30.8784;SP;Ribeirão Preto;3.0801;IRU;AT;Aguardando analise
 SP-3543402-24CA69D76FA74C2180CFBB7F6F21E886;66.4393;SP;Ribeirão Preto;6.6439;IRU;AT;Aguardando analise
 SP-3543402-533F84A045784B52A154A2E4336C5F61;9.5974;SP;Ribeirão Preto;0.9597;IRU;AT;Aguardando analise
 SP-3543402-14C17CC001154E738FD46FFCF8EA2192;4.3202;SP;Ribeirão Preto;0.4320;IRU;AT;Aguardando analise
 SP-3543402-CFE7F0A5FCD2497F90CECB4F4F862679;38.3980;SP;Ribeirão Preto;3.7951;IRU;AT;Aguardando analise
 SP-3543402-C37740975053438F8CF38309BC59D5F7;530.3207;SP;Ribeirão Preto;53.0043;IRU;AT;Aguardando analise
 SP-3543402-714D15CF757A4B048B2A8216DDF04842;50.6424;SP;Ribeirão Preto;5.0642;IRU;AT;Aguardando analise
 SP-3543402-166222ECBD3E49F6B8C9D85741B9E09E;19.8124;SP;Ribeirão Preto;1.9812;IRU;AT;Aguardando analise
 SP-3543402-7A00997DDF5E484392E938B618988BB8;60.5006;SP;Ribeirão Preto;6.0185;IRU;AT;Aguardando analise
 SP-3543402-BBF64FB8B02C4A0B83D4B56EA81D2096;0.8569;SP;Ribeirão Preto;0.0741;IRU;AT;Aguardando análise
 SP-3543402-7EF69B0CDB2A4B8B8CF2F03A9E81FC1B;30.6809;SP;Ribeirão Preto;3.0681;IRU;AT;Aguardando analise
 SP-3543402-BD1C609774F84FEAACDAE6AD2D5DB3B0;14.5157;SP;Ribeirão Preto;1.4516;IRU;AT;Aguardando analise
 SP-3543402-3A3D58B2A8AE423CBC566725F367E638;12.6374;SP;Ribeirão Preto;1.2637;IRU;AT;Aguardando analise
 SP-3543402-DE2DD4DE8C9745D2BB23066DBB280402;131.1480;SP;Ribeirão Preto;13.1148;IRU;AT;Aguardando analise
 SP-3543402-B58925C804584C2DA20908DD51BD77FF;12.1847;SP;Ribeirão Preto;1.2185;IRU;AT;Aguardando analise
 SP-3543402-F354371F5B7E47E6BDF71EBC60CDA942;8.8800;SP;Ribeirão Preto;0.8880;IRU;AT;Aguardando analise
 SP-3543402-9B7041C6D21A405A8069318DE00D0B7D;23.0610;SP;Ribeirão Preto;2.2514;IRU;AT;Aguardando analise
 SP-3543402-333183DF45774B4792BEC5652086BCD4;1.9995;SP;Ribeirão Preto;0.2000;IRU;AT;Aguardando analise
 SP-3543402-900C6A23D5F04C51B8DA84F251E17666;6.2472;SP;Ribeirão Preto;0.6177;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 SP-3543402-0E0627804DB7429A925CFBACC5C4D190;86.0061;SP;Ribeirão Preto;8.6006;IRU;AT;Aguardando analise
 SP-3543402-7B6087E46C4D49B29439155806BE8FB1;0.5015;SP;Ribeirão Preto;0.0501;IRU;AT;Aguardando analise
 SP-3543402-C4C78671815A48F4BEE3D74685693453;2.0096;SP;Ribeirão Preto;0.2010;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-0B5A6ABEE6574035A9D5A4866053A1C1;14.6036;SP;Ribeirão Preto;1.4604;IRU;AT;Aguardando analise
 SP-3543402-1695D54463A5421EBAF9151D754250A5;4.7755;SP;Ribeirão Preto;0.4776;IRU;AT;Aguardando analise
 SP-3543402-6674778B9BA644378C05D3E983CFD813;56.0072;SP;Ribeirão Preto;5.1037;IRU;AT;Aguardando analise
 SP-3543402-FF9B9E9D35204A85BB27055777E62C0E;14.2346;SP;Ribeirão Preto;1.4235;IRU;AT;Aguardando analise
 SP-3543402-8402D666868049AD9521285BD00BC02D;7.1673;SP;Ribeirão Preto;0.7167;IRU;AT;Aguardando analise
 SP-3543402-0C6BE2EAB5F844509FA0B1A3E6D5DCF3;3.3586;SP;Ribeirão Preto;0.3359;IRU;AT;Aguardando analise
 SP-3543402-0BB4086145B746DCB291F57666B5812C;51.0022;SP;Ribeirão Preto;5.1002;IRU;AT;Aguardando analise
 SP-3543402-06DCE01BD8D64962B092A2B1BC79B9CD;2.5265;SP;Ribeirão Preto;0.2526;IRU;AT;Aguardando analise
 SP-3543402-EE91795959CD4AEA8AA907D4AEC485E9;18.1301;SP;Ribeirão Preto;1.8130;IRU;AT;Aguardando analise
 SP-3543402-5979D96C5C46422B88321AA812A0B29E;1.8183;SP;Ribeirão Preto;0.1818;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-D9C1763215FE4C3DA0E013081A6BFDD1;4.8107;SP;Ribeirão Preto;0.4811;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-04F7425A6F344A8E83BE50472FF811AE;52.3880;SP;Ribeirão Preto;5.0738;IRU;AT;Aguardando analise
 SP-3543402-A93B3FFBFCEE496DA5F5E38FAE623A13;11.1085;SP;Ribeirão Preto;1.1108;IRU;AT;Aguardando analise
 SP-3543402-35D7A470EA724BD191CC5517DCF04AF7;22.8849;SP;Ribeirão Preto;2.2885;IRU;AT;Aguardando analise
 SP-3543402-D030BD446D1241E1A8ADBAB5547A0686;12.3638;SP;Ribeirão Preto;1.2364;IRU;AT;Aguardando analise
 SP-3543402-C2EB50AABC59404FAD0F72DDA89B0E1F;276.8012;SP;Ribeirão Preto;26.0381;IRU;AT;Aguardando analise
 SP-3543402-6D5023AB790C45E59A1C7F4DC0CBA4C8;218.9349;SP;Ribeirão Preto;21.8935;IRU;AT;Aguardando analise
 SP-3543402-FA9C191D984A4199B9287F0F72AFCE49;9.7478;SP;Ribeirão Preto;0.9748;IRU;AT;Aguardando analise
 SP-3543402-C72234B108A5447A84CD4EB83958B0BA;24.1707;SP;Ribeirão Preto;0.0000;IRU;AT;Aguardando analise
 SP-3543402-6B4B153304724F8CBD838F98D23C570E;51.2463;SP;Ribeirão Preto;5.1246;IRU;AT;Aguardando analise
 SP-3543402-97C417B866244F148D119E0E765E55C5;5.4695;SP;Ribeirão Preto;0.5469;IRU;AT;Aguardando analise
 SP-3543402-4A9DDC548E8A4ECB9D048D881E76C395;41.2752;SP;Ribeirão Preto;4.1275;IRU;AT;Aguardando analise
 SP-3543402-95107DA406354816AF541D2F94BD298F;175.7507;SP;Ribeirão Preto;17.4598;IRU;AT;Aguardando analise
 SP-3543402-E2A0C7DB978C42B6B7627093842171BD;49.0463;SP;Ribeirão Preto;4.8585;IRU;AT;Aguardando analise
 SP-3543402-8A061192113A4849A29462D3C7D626E5;185.4610;SP;Ribeirão Preto;18.4309;IRU;AT;Aguardando analise
 SP-3543402-8ADD307959594069BB6CAFDABB99117A;10.2984;SP;Ribeirão Preto;1.0298;IRU;AT;Aguardando analise
 SP-3543402-783133CFDE014AA3A6D355CA5705CB1C;74.5076;SP;Ribeirão Preto;7.4508;IRU;AT;Aguardando analise
 SP-3543402-67E081386D114CD085B0FE60D78BED02;6.2708;SP;Ribeirão Preto;0.6271;IRU;AT;Aguardando analise
 SP-3543402-38AC4E22130E459F8B554FFA0A69482E;2.0109;SP;Ribeirão Preto;0.2011;IRU;AT;Aguardando analise
 SP-3543402-704D390D206A437DB7DD27B6B90DE068;3.2288;SP;Ribeirão Preto;0.3229;IRU;AT;Aguardando analise
 SP-3543402-3427B8D955D24787BEA063F0C8AB87B9;50.1687;SP;Ribeirão Preto;4.9689;IRU;AT;Aguardando analise
 SP-3543402-F678787C10E14898A62D16912BFC61FB;98.9053;SP;Ribeirão Preto;9.8651;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-97208FA8FAB6475EA32ABF9D7B41EBD4;31.3209;SP;Ribeirão Preto;3.1072;IRU;AT;Aguardando analise
 SP-3543402-0055A3249B0E4BCCB4B8E12C85049F95;7.9363;SP;Ribeirão Preto;0.7936;IRU;AT;Aguardando analise
 SP-3543402-AB284DBD7D984EBB82E4FB28ECC13EFD;2.2853;SP;Ribeirão Preto;0.2285;IRU;AT;Aguardando analise
 SP-3543402-BF8448B02B594251A5F505F5B6321D40;6.3313;SP;Ribeirão Preto;0.6331;IRU;AT;Aguardando analise
 SP-3543402-3A47298E4AA642B5A7DCE7A6A97396DC;5.1792;SP;Ribeirão Preto;0.5179;IRU;AT;Aguardando analise
 SP-3543402-0A8091A2DE604656BE1300758A80774E;36.3734;SP;Ribeirão Preto;3.6064;IRU;AT;Aguardando analise
 SP-3543402-39066340522C485AB6E6CA052F59FA8C;43.2626;SP;Ribeirão Preto;4.3263;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-CAF3D33E96E44E10B4A7E0B506C20914;6.1106;SP;Ribeirão Preto;0.6111;IRU;AT;Aguardando analise
 SP-3543402-3DD44BFE86364AFDBE82077075FCD94E;9.1440;SP;Ribeirão Preto;0.9144;IRU;AT;Aguardando analise
 SP-3543402-5E1A6D83084849D49111C9FA273FC54C;94.6633;SP;Ribeirão Preto;9.4663;IRU;AT;Aguardando analise
 SP-3543402-0769E344A9954D90870422D0E78761BE;3.9285;SP;Ribeirão Preto;0.3929;IRU;AT;Aguardando analise
 SP-3543402-F41687E8C75A457A9EB26148AA2AA54A;235.3253;SP;Ribeirão Preto;23.4263;IRU;AT;Aguardando análise
 SP-3543402-F040D5AE01384691A57839314591277C;12.1025;SP;Ribeirão Preto;1.2102;IRU;AT;Aguardando analise
 SP-3543402-33D6B27002274854B6E2E926D992F04A;122.8938;SP;Ribeirão Preto;12.2894;IRU;AT;Aguardando analise
 SP-3543402-B7BFCF82C1C54261978FE5D4162BEF46;62.8649;SP;Ribeirão Preto;6.2865;IRU;AT;Aguardando analise
 SP-3543402-84B31428D64744348DF5C6B42653AD05;584.2673;SP;Ribeirão Preto;58.4267;IRU;AT;Aguardando analise
 SP-3543402-C4AD55D653934BDEBCF513DB0111CD6B;4.0010;SP;Ribeirão Preto;0.4001;IRU;AT;Aguardando analise
 SP-3543402-726ADC094BF045FDB10BA67D1E59F22C;11.4440;SP;Ribeirão Preto;1.1444;IRU;AT;Aguardando analise
 SP-3543402-7B4F6FCED78B47D7A24BD77D4B74F607;69.1049;SP;Ribeirão Preto;6.9105;IRU;AT;Aguardando analise
 SP-3543402-87220DDDE4984C489D729941E0D9F737;8.3321;SP;Ribeirão Preto;0.8332;IRU;AT;Aguardando análise
 SP-3543402-3FDE10CE37484C178BC6C62DC63C1CA7;11.5263;SP;Ribeirão Preto;1.1526;IRU;AT;Aguardando analise
 SP-3543402-F00D2E04318A427A960B1CC7A2028EB8;11.0727;SP;Ribeirão Preto;1.1065;IRU;AT;Aguardando analise
 SP-3543402-4A74DE9E5FD344D4A8D089731D77EE12;1.9982;SP;Ribeirão Preto;0.1998;IRU;AT;Aguardando análise
 SP-3543402-1A33EA725AA04832B190D2389E47ADEF;30.5551;SP;Ribeirão Preto;3.0555;IRU;AT;Aguardando analise
 SP-3543402-9D448ED35C3B44E1878FF7730936615D;0.8378;SP;Ribeirão Preto;0.0838;IRU;AT;Aguardando analise
 SP-3543402-A3C850AE101542F587F75AB450CD87EA;14.5944;SP;Ribeirão Preto;1.4215;IRU;AT;Aguardando análise
 SP-3543402-CC40CB7307B64146B136BCC1878194F9;85.3711;SP;Ribeirão Preto;8.5371;IRU;AT;Aguardando analise
 SP-3543402-76AA7512AAF942599455BCD4627418C9;31.1994;SP;Ribeirão Preto;3.1199;IRU;AT;Aguardando analise
 SP-3543402-FF41BEE7E0FD462F8B1305C2517A1A38;56.2877;SP;Ribeirão Preto;5.6288;IRU;AT;Aguardando analise
 SP-3543402-2DAAC32183BE44A797A0ADEBA7258EA7;53.7514;SP;Ribeirão Preto;5.3751;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-4D44B632F9274102AC2810FF51D740E9;6.8025;SP;Ribeirão Preto;0.5099;IRU;AT;Aguardando analise
 SP-3543402-06F37B6F2BC344B8BF4FDF7010F1EAEF;6.9834;SP;Ribeirão Preto;0.6983;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 SP-3543402-6B1A15A2208044ECACB6795A02F9A1D3;48.8783;SP;Ribeirão Preto;4.8534;IRU;AT;Aguardando analise
 SP-3543402-502F1DA5E87B45CCB431349B714BC4E7;15.6533;SP;Ribeirão Preto;1.5653;IRU;AT;Aguardando analise
 SP-3543402-20C03D1C5529499B9DD42F074AD4BE77;36.4150;SP;Ribeirão Preto;3.6415;IRU;AT;Aguardando analise
 SP-3543402-168508D95AD14486A69ED24C71806C69;26.1200;SP;Ribeirão Preto;2.6120;IRU;AT;Aguardando analise
 SP-3543402-392E4262FD65405D9B59B436BDAB08A4;1.2631;SP;Ribeirão Preto;0.1250;IRU;AT;Aguardando analise
 SP-3543402-43C8BDCBCE674A9C961BDA97DF9A3905;1.0383;SP;Ribeirão Preto;0.0000;IRU;AT;Aguardando analise
 SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC;175.0845;SP;Ribeirão Preto;17.2673;IRU;AT;Aguardando analise
 SP-3543402-81B4CEBB06C34415BAD5B77A8D5A2A37;75.0523;SP;Ribeirão Preto;7.5052;IRU;AT;Aguardando analise
 SP-3543402-1ECBC38B4085480DA19904B18EBE2ACA;104.8996;SP;Ribeirão Preto;10.4900;IRU;AT;Aguardando analise
 SP-3543402-14A92816D5D042E2A9E176DCE15A64F5;24.2211;SP;Ribeirão Preto;2.4221;IRU;AT;Aguardando analise
 SP-3543402-80F9EC3522B94B2991592BC17C1C9E92;113.2869;SP;Ribeirão Preto;11.3287;IRU;AT;Aguardando analise
 SP-3543402-C0B634781E5B4B8CA18D8F2C55628091;9.2652;SP;Ribeirão Preto;0.9265;IRU;AT;Aguardando análise
 SP-3543402-68A1D67822FD486D8F6EBF148EC7F7D5;12.9952;SP;Ribeirão Preto;1.2959;IRU;AT;Aguardando analise
 SP-3543402-E806CB32B17342B1AEFA015366E29D38;39.8933;SP;Ribeirão Preto;3.9893;IRU;AT;Aguardando analise
 SP-3543402-4EA6CCC07B6546E38D7D8B44B757C079;3.4796;SP;Ribeirão Preto;0.3480;IRU;AT;Aguardando analise
 SP-3543402-1515274A63044BC7AB877DDE99ED823A;15.5467;SP;Ribeirão Preto;1.5547;IRU;AT;Aguardando analise
 SP-3543402-3E300AB697724704A163575E8D9DF619;11.3771;SP;Ribeirão Preto;1.1377;IRU;AT;Aguardando analise
 SP-3543402-631DDD0C9E4D4C168D7DD60E5D9F1115;30.2656;SP;Ribeirão Preto;3.0266;IRU;AT;Aguardando analise
 SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD;119.2358;SP;Ribeirão Preto;11.8416;IRU;AT;Aguardando analise
 SP-3543402-F244EC32508641CB95F37A625DA33583;90.3196;SP;Ribeirão Preto;9.0320;IRU;AT;Aguardando análise
 SP-3543402-E54E68FD9BDD41B3BCF604F52F2A6079;94.1403;SP;Ribeirão Preto;9.4140;IRU;AT;Aguardando análise
 SP-3543402-3D0542CB9FE14B5FBE300F6019D4716B;12.6387;SP;Ribeirão Preto;1.2639;IRU;AT;Aguardando análise
 SP-3543402-240810E2EB594EFF9B1702363B7583C6;4.1034;SP;Ribeirão Preto;0.4103;IRU;AT;Aguardando análise
 SP-3543402-16C38FEF32994E25941935BEB32CB3D1;17.6834;SP;Ribeirão Preto;1.7683;IRU;AT;Aguardando analise
 SP-3543402-8D5D1921CF8245FEAB62CA7F6C73BBAC;7.6835;SP;Ribeirão Preto;0.7684;IRU;AT;Aguardando analise
 SP-3543402-D85BDF66D9904123A5D7692832F9683C;75.2536;SP;Ribeirão Preto;7.3939;IRU;AT;Aguardando analise
 SP-3543402-AC51473C98884771A696E3429AAA68FF;16.7224;SP;Ribeirão Preto;1.6722;IRU;AT;Aguardando analise
 SP-3543402-E54E291232144412B26424F78CB99123;71.2361;SP;Ribeirão Preto;7.0053;IRU;AT;Aguardando análise
 SP-3543402-41FC9A7C47EF43A6B4A29AE8D3B16467;70.9208;SP;Ribeirão Preto;7.0921;IRU;AT;Aguardando analise
 SP-3543402-271A54EA085B4C358F153B4F284F2E14;58.6528;SP;Ribeirão Preto;5.8653;IRU;AT;Aguardando analise
 SP-3543402-27FCCB49FC79413DA0347DA9BCDFF30B;2.4510;SP;Ribeirão Preto;0.2451;IRU;AT;Aguardando análise
 SP-3543402-3F6C42CA6E9542DC9D928591A112690F;24.1986;SP;Ribeirão Preto;2.4199;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 SP-3543402-A9DFE77D9703427AAAD720C45B9C53B7;1.8502;SP;Ribeirão Preto;0.1850;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-69673E96BFC243FDAD6BC086BFD73B4F;3.0529;SP;Ribeirão Preto;0.3053;IRU;AT;Aguardando analise
 SP-3543402-AE6DE8E1E73C4ABCB714211B72935980;3.5985;SP;Ribeirão Preto;0.3598;IRU;AT;Aguardando análise
 SP-3543402-4D79777AFE6C4D6CADB2D72F4F11FC9B;3.0928;SP;Ribeirão Preto;0.3093;IRU;AT;Aguardando analise
 SP-3543402-A9B9E69510F448D9B9D014E01B38E643;4.5314;SP;Ribeirão Preto;0.4531;IRU;AT;Aguardando analise
 SP-3543402-467ED27E62484BA3B3BC95EE643009DE;51.2067;SP;Ribeirão Preto;5.1207;IRU;AT;Aguardando análise
 SP-3543402-01283423AE2442A899E5A6A2BE5A828F;225.1645;SP;Ribeirão Preto;22.5164;IRU;AT;Aguardando analise
 SP-3543402-6C28DAA5CE8842E19AEBB01EE08CC121;98.3004;SP;Ribeirão Preto;9.8300;IRU;AT;Aguardando analise
 SP-3543402-32BCE77BEE3B440EB4B835B994BDA84D;13.2123;SP;Ribeirão Preto;1.1267;IRU;AT;Aguardando análise
 SP-3543402-07FED07E13D9443E8B0636CEB89E522D;2.5287;SP;Ribeirão Preto;0.2458;IRU;AT;Aguardando análise
 SP-3543402-4359E7F681C2440EA2FAB3D514060150;168.6488;SP;Ribeirão Preto;16.8649;IRU;AT;Aguardando análise
 SP-3543402-188EDB67444F4A428CDAC2174BDFDD9D;892.5971;SP;Ribeirão Preto;89.2597;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-BC0C1FED79C74949923712EFAD542B68;8.8453;SP;Ribeirão Preto;0.8845;IRU;AT;Aguardando análise
 SP-3543402-D648AF3155B449C4B8F6CE44BCBB08C6;2.9486;SP;Ribeirão Preto;0.2949;IRU;AT;Aguardando análise
 SP-3543402-4B9D46D1ECDE44D790193F57C81C3A23;16.6950;SP;Ribeirão Preto;1.6695;IRU;AT;Aguardando análise
 SP-3543402-3D3EC63558934AA3ACEF13F7E6C2A922;3.6309;SP;Ribeirão Preto;0.0000;IRU;AT;Aguardando análise
 SP-3543402-6B318E23D1194E2F93D0F86F996887E5;25.5951;SP;Ribeirão Preto;2.5595;IRU;AT;Aguardando análise
 SP-3543402-62B7DC2A83414271BC9CE14268B499D9;143.4638;SP;Ribeirão Preto;14.3464;IRU;AT;Aguardando analise
 SP-3543402-6E9952FA14154622962CD3EA1126B217;76.1505;SP;Ribeirão Preto;7.4933;IRU;AT;Aguardando análise
 SP-3543402-43AABB4E6C46418C929E4DB4081B99B5;14.5226;SP;Ribeirão Preto;1.4523;IRU;AT;Aguardando análise
 SP-3543402-4406BCD1247A430F8E2B7C4BCD25522A;0.4866;SP;Ribeirão Preto;0.0487;IRU;AT;Aguardando analise
 SP-3543402-F06698E99E2D43FCA23DCC75BCAD1D16;2.0119;SP;Ribeirão Preto;0.2012;IRU;AT;Aguardando analise
 SP-3543402-C743AD0972924090BE3C3B6C9B86A0B0;11.2349;SP;Ribeirão Preto;1.1235;IRU;AT;Aguardando análise
 SP-3543402-FF765AE07911407394F7D14BFBF9A1C3;8.7344;SP;Ribeirão Preto;0.8734;IRU;AT;Aguardando análise
 SP-3543402-598413DFBBEC4BC3B84107E2A07DB88F;79.0066;SP;Ribeirão Preto;6.7360;IRU;AT;Aguardando analise
 SP-3543402-537FFD3C56834A16A7F775FC488EB31C;197.1557;SP;Ribeirão Preto;19.7117;IRU;AT;Aguardando analise
 SP-3543402-CB81F7B4366244649973B366A69966CB;4.5794;SP;Ribeirão Preto;0.4579;IRU;AT;Aguardando análise
 SP-3543402-AA8C5E9DD40A451BA547A24253630151;6.8377;SP;Ribeirão Preto;0.6838;IRU;AT;Aguardando analise
 SP-3543402-84504166EE324460A94D7F0F366558EE;3.3151;SP;Ribeirão Preto;0.3315;IRU;AT;Aguardando analise
 SP-3543402-D420FE889EA64D85A7EEECF635D3FBDD;3.9287;SP;Ribeirão Preto;0.3929;IRU;AT;Aguardando análise
 SP-3543402-0337B49CD14B4F7ABD73DD638EBE01D8;6.2020;SP;Ribeirão Preto;0.6202;IRU;AT;Aguardando análise
 SP-3543402-866152FE8D684F76BC21E6B0E6C59FCF;8.2656;SP;Ribeirão Preto;0.8266;IRU;AT;Aguardando análise
 SP-3543402-DC7EA46CDA2E4610B0198949CB1EC90D;38.1523;SP;Ribeirão Preto;3.7324;IRU;AT;Aguardando analise
 SP-3543402-327A272BFC8043A39004C1CB9BEDC7C1;34.6478;SP;Ribeirão Preto;3.4648;IRU;AT;Aguardando analise
 SP-3543402-667FF60D0ECE405DAF7F99EB1A9AECBC;0.2382;SP;Ribeirão Preto;0.0238;IRU;AT;Aguardando análise
 SP-3543402-9A67C52287E64147BAE1FF75A58AC675;1.9972;SP;Ribeirão Preto;0.1997;IRU;AT;Aguardando analise
 SP-3543402-49FB5BC923DE40D9AF0778B82FFE4B4F;16.4941;SP;Ribeirão Preto;1.6494;IRU;AT;Aguardando analise
 SP-3543402-89AECB44B4BF436AA9C2609A34DC44DC;1.3377;SP;Ribeirão Preto;0.1338;IRU;AT;Aguardando análise
 SP-3543402-EF02DB8336444E62AB8638539FD74A54;25.1767;SP;Ribeirão Preto;2.5177;IRU;AT;Aguardando analise
 SP-3543402-E3F60480688A4A74B4298D101467747E;8.8134;SP;Ribeirão Preto;0.8813;IRU;AT;Aguardando analise
 SP-3543402-CC4BF550476642CEB9B6D12193AE669B;1.1308;SP;Ribeirão Preto;0.1131;IRU;AT;Aguardando analise
 SP-3543402-26122A2BF6FB4B4D941A5BDD6CAB85E6;193.8115;SP;Ribeirão Preto;19.2851;IRU;AT;Aguardando analise
 SP-3543402-6DBF9BB9740B4798B20E4266FFF744ED;3.1800;SP;Ribeirão Preto;0.3180;IRU;AT;Aguardando análise
 SP-3543402-6DF4383214C84D7D9AB856A48FEAF015;12.9947;SP;Ribeirão Preto;1.2995;IRU;AT;Aguardando analise
 SP-3543402-9FCF2ABA47784C39B924BDFC747AE144;84.3125;SP;Ribeirão Preto;8.4312;IRU;AT;Aguardando análise, não passível de revisão de dados
 SP-3543402-667BC9C8272D45979459F3C2F72B5F72;81.7194;SP;Ribeirão Preto;8.1719;IRU;AT;Aguardando analise
 SP-3543402-4CAFE43AD8064FD8B0DEC96E76B830D9;0.1143;SP;Ribeirão Preto;0.0114;IRU;AT;Aguardando analise
 SP-3543402-1E98AF14E5764D489833651F607EB054;6.0479;SP;Ribeirão Preto;0.6048;IRU;AT;Aguardando analise
 SP-3543402-2F7066D468754432A9F3F609343D0683;52.6951;SP;Ribeirão Preto;5.2337;IRU;AT;Aguardando analise
 SP-3543402-CFDDCEB23AB34338811A733B3EEE8616;22.1654;SP;Ribeirão Preto;2.2165;IRU;AT;Aguardando análise
 SP-3543402-48F4E1C2542047FB878BF3897AC416AA;7.2087;SP;Ribeirão Preto;0.7134;IRU;AT;Aguardando analise
 SP-3543402-626556CA994F4E2F8E3BD63DAE524AC1;19.4380;SP;Ribeirão Preto;1.9438;IRU;AT;Aguardando analise
 SP-3543402-AA459E945CCE43F3B67B4A968E0E37FC;2.3532;SP;Ribeirão Preto;0.2353;IRU;AT;Aguardando análise
 SP-3543402-D3F7D4AE847C4B4296B77A05045EA82F;43.9144;SP;Ribeirão Preto;4.3914;IRU;AT;Aguardando analise
 SP-3543402-8269C8C5E13C47A489B0A166E6D545C7;32.0114;SP;Ribeirão Preto;2.8107;IRU;AT;Aguardando analise
 SP-3543402-0A0F50509BCA460CA6FFDCAD8CA34D5A;0.1271;SP;Ribeirão Preto;0.0127;IRU;AT;Aguardando analise
